date,open,high,low,close,tick_volume,spread,returns,log_returns,tr,atr_14,atr_mean_16,atr_mean_48,atr_rel_16,atr_rel_48
2022-10-27 13:00:00,1.0038,1.00464,1.00296,1.00361,6573,0,-0.0001992408922009,-0.0001992607433042,0.0016799999999999038,0.0016250000000000192,0.0018250000000000037,0.0020348363095238076,0.8904109589041184,0.7985900351759999
2022-10-27 14:00:00,1.00357,1.00504,1.00283,1.00499,6276,0,0.0013750361196083,0.0013740916231552,0.0022099999999998232,0.001673571428571433,0.0017587053571428608,0.0020363244047619028,0.9515928417311846,0.8218589457837958
2022-10-27 15:00:00,1.00498,1.00512,0.99854,1.00061,14014,0,-0.0043582523209186,-0.0043677771871531,0.00658000000000003,0.002062857142857144,0.0017248660714285753,0.0020456249999999984,1.195952066671841,1.0084239011828393
2022-10-27 16:00:00,1.00062,1.00303,0.99723,1.00058,15698,0,-2.998171115620174e-05,-2.998216061668742e-05,0.005800000000000138,0.0023742857142857177,0.0017309375000000042,0.002048080357142856,1.3716761664044554,1.15927371013798
2022-10-27 17:00:00,1.00058,1.00439,0.99886,0.99981,15004,0,-0.0007695536588778,-0.0007698499172957,0.005529999999999924,0.002632857142857135,0.0017611160714285754,0.00205251488095238,1.4949935359578113,1.2827469205170743
2022-10-27 18:00:00,0.99981,1.00118,0.99779,0.99839,11965,0,-0.0014202698512717,-0.0014212793904889,0.003390000000000004,0.002804999999999994,0.0018084375000000034,0.0020600892857142853,1.5510627268014454,1.361591470549991
2022-10-27 19:00:00,0.99836,0.99903,0.99705,0.99779,7225,0,-0.000600967557768,-0.0006011482111523,0.0019799999999999818,0.0028471428571428497,0.0018601339285714306,0.002067485119047619,1.5306117551059535,1.3771044013387521
2022-10-27 20:00:00,0.99778,0.99955,0.99712,0.99717,5283,0,-0.000621373234849,-0.0006215663672064,0.0024300000000000432,0.0029685714285714155,0.0019237500000000008,0.002076369047619048,1.5431170518889743,1.429693546999965
2022-10-27 21:00:00,0.99717,0.99739,0.99574,0.9963,3246,0,-0.0008724690875177,-0.0008728499101921,0.0016500000000000403,0.003008571428571432,0.001998437500000001,0.0020852678571428576,1.5054618563609972,1.4427745664739897
2022-10-27 22:00:00,0.99626,0.99726,0.99592,0.99709,4749,0,0.0007929338552645,0.0007926196493005,0.0013400000000000079,0.0030050000000000038,0.0020830357142857144,0.0020947172619047625,1.4426060865837995,1.4345611480126466
